"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","EGPM","GOLD%","WPM","WCPM"
"Dreams","SK Gaming","Support",19,"37%","37%",17,56,144,2.9,"71.9%","7.6%","21.6%","32%",-47,-1,3.9,1.3,"4.6%",148,"7.8%",109,"9.7%",1.36,0.21
"Expect","Excel Esports","Top",18,"22%","61%",34,62,76,1.8,"61.5%","19.0%","20.7%","28%",-121,-165,-7.1,7.4,"23.4%",343,"22.4%",226,"21.8%",0.48,0.18
"FEBIVEN","Misfits Gaming","Middle",6,"33%","83%",12,13,25,2.8,"67.3%","21.8%","21.0%","17%",-165,-63,-3,9.7,"30.2%",352,"24.4%",270,"25.1%",0.49,0.15
"Finn","Rogue","Top",6,"50%","33%",18,23,44,2.7,"65.3%","18.9%","22.5%","17%",-255,-169,-1,6.8,"22.3%",449,"25.4%",224,"20.6%",0.45,0.2
"GorillA","Misfits Gaming","Support",8,"25%","38%",2,17,41,2.5,"69.4%","3.2%","15.9%","13%",50,-105,8,1.5,"4.7%",152,"10.8%",97,"9.3%",1.34,0.31
"Hans sama","Misfits Gaming","ADC",12,"33%","33%",38,26,45,3.2,"69.2%","31.7%","14.6%","17%",-155,-140,-8.7,9.4,"30.4%",429,"26.9%",302,"27.2%",0.44,0.24
"HeaQ","Rogue","ADC",2,"50%","0%",2,2,10,6,"60.0%","10.0%","11.8%","50%",-112,47,-2,8.7,"28.1%",422,"24.0%",240,"23.5%",0.43,0.13
"Hiiva","Misfits Gaming","Support",8,"50%","63%",10,37,55,1.8,"59.1%","9.1%","27.2%","50%",96,95,7.3,1.5,"4.5%",172,"8.8%",119,"9.6%",1.4,0.34
"Hjarnan","Excel Esports","ADC",4,"0%","100%",3,8,5,1,"66.7%","25.0%","15.4%","0%",37,85,12.3,10.2,"32.8%",388,"28.6%",263,"28.5%",0.32,0.36
"Humanoid","Splyce","Middle",18,"67%","44%",71,55,78,2.7,"58.0%","27.6%","24.2%","17%",-78,-32,-1.1,9.6,"28.6%",482,"27.0%",306,"24.6%",0.45,0.21
"Hylissang","Fnatic","Support",18,"78%","44%",35,71,180,3,"65.7%","10.7%","28.3%","44%",-43,-27,3.8,1.3,"4.2%",244,"11.6%",152,"11.7%",1.13,0.29
"IgNar","FC Schalke 04 Esports","Support",18,"61%","44%",22,24,183,8.5,"74.5%","8.0%","12.3%","28%",25,223,-1.8,1.4,"5.1%",159,"8.8%",128,"10.7%",1.62,0.37
"Inspired","Rogue","Jungle",18,"39%","28%",44,50,109,3.1,"65.9%","19.0%","21.0%","28%",25,-27,1.2,4.6,"12.7%",227,"13.3%",184,"17.2%",0.66,0.37
"Jactroll","Team Vitality","Support",19,"42%","47%",23,70,115,2,"62.4%","10.4%","24.8%","26%",42,28,-6.7,1.1,"4.0%",196,"11.2%",112,"9.8%",1.35,0.23
"Jankos","G2 Esports","Jungle",18,"83%","56%",73,40,166,6,"65.3%","19.9%","18.7%","39%",219,284,10,5.3,"15.3%",374,"15.9%",245,"18.2%",0.74,0.39
"Jenax","SK Gaming","Middle",7,"57%","43%",34,20,40,3.7,"66.1%","30.4%","23.5%","29%",38,-34,-4.1,8.3,"25.4%",524,"24.8%",291,"24.4%",0.48,0.27
"Jeskla","Excel Esports","ADC",14,"29%","43%",38,47,54,2,"55.1%","22.8%","19.0%","14%",-96,193,2.6,8.7,"28.8%",465,"27.5%",277,"24.7%",0.53,0.18
"Jiizuke","Team Vitality","Middle",19,"42%","63%",57,61,78,2.2,"61.1%","25.8%","21.6%","5%",61,115,1.9,9.2,"28.2%",514,"28.9%",291,"25.2%",0.44,0.14
"kaSing","Excel Esports","Support",4,"0%","50%",2,9,5,0.8,"58.3%","16.7%","17.3%","0%",-171,26,-9.5,1.3,"4.3%",136,"10.0%",88,"9.4%",1.35,0.22
"Kirei","Misfits Gaming","Jungle",13,"38%","46%",38,49,65,2.1,"65.6%","24.2%","21.9%","62%",-168,-167,-5.2,4.4,"11.2%",337,"19.3%",182,"16.0%",0.72,0.47
