"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Reignover","Incredible Miracle 2","Jungle",6,"33%",,13,20,46,3,"69.4%","15.3%","27.4%",,,,,,,,,,171,"17.5%",,,
"Rookie","KT Rolster Arrows","Middle",10,"50%",,47,19,77,6.5,"69.7%","26.4%","17.3%",,,,,,,,,,248,"24.0%",,,
"Ryu","KT Rolster Bullets","Middle",11,"55%",,39,25,78,4.7,"65.0%","21.7%","18.9%",,,,,,,,,,247,"24.2%",,,
"Save","NaJin White Shield","Top",21,"62%",,59,55,93,2.8,"53.5%","20.8%","21.1%",,,,,,,,,,264,"24.1%",,,
"Score","KT Rolster Bullets","ADC",11,"55%",,70,21,70,6.7,"77.8%","38.9%","15.9%",,,,,,,,,,270,"26.5%",,,
"Shy","CJ Entus Frost","Top",10,"50%",,27,26,80,4.1,"60.5%","15.3%","19.0%",,,,,,,,,,244,"23.7%",,,
"Smeb","Incredible Miracle 1","Top",6,"33%",,15,12,30,3.8,"61.6%","20.5%","13.6%",,,,,,,,,,205,"23.1%",,,
"Space","CJ Entus Frost","ADC",10,"50%",,44,23,63,4.7,"60.5%","24.9%","16.8%",,,,,,,,,,256,"24.7%",,,
"Spirit","Samsung Blue","Jungle",18,"78%",,86,40,131,5.4,"71.1%","28.2%","20.2%",,,,,,,,,,209,"18.3%",,,
"Ssumday","KT Rolster Arrows","Top",10,"50%",,30,17,80,6.5,"61.8%","16.9%","15.5%",,,,,,,,,,230,"22.1%",,,
"SSuN","Midas FIO","Jungle",6,"0%",,9,37,17,0.7,"66.7%","23.1%","24.0%",,,,,,,,,,117,"16.5%",,,
"Swift","CJ Entus Frost","Jungle",10,"50%",,42,39,66,2.8,"61.0%","23.7%","28.5%",,,,,,,,,,175,"16.5%",,,
"Vin","Xenics Storm","Jungle",6,"0%",,13,28,20,1.2,"67.3%","26.5%","26.7%",,,,,,,,,,118,"14.5%",,,
"Violet","Incredible Miracle 1","ADC",6,"33%",,13,15,29,2.8,"57.5%","17.8%","17.0%",,,,,,,,,,224,"26.1%",,,
"Watch","NaJin White Shield","Jungle",21,"62%",,46,49,148,4,"68.3%","16.2%","18.8%",,,,,,,,,,166,"15.3%",,,
"Wolf","SK Telecom T1 S","Support",7,"43%",,4,24,33,1.5,"56.1%","6.1%","26.1%",,,,,,,,,,82,"7.9%",,,
"Wraith","SK Telecom T1 K","Support",4,"75%",,9,10,38,4.7,"63.5%","12.2%","24.4%",,,,,,,,,,127,"10.7%",,,
"Zefa","NaJin White Shield","ADC",21,"62%",,75,47,108,3.9,"64.4%","26.4%","18.0%",,,,,,,,,,279,"25.9%",,,
"Zero","KT Rolster Bullets","Support",2,"50%",,3,7,20,3.3,"76.7%","10.0%","25.9%",,,,,,,,,,111,"11.8%",,,
